match_id,date,team_a_id,team_b_id,team_a_goals,team_b_goals,actual_result,total_goals_real,source_url,verified_at,data_status
2026-06-11_match-1,2026-06-11,MEX,RSA,2,0,team_a_win,2,https://www.foxsports.com/soccer/fifa-world-cup-men-mexico-vs-south-africa-jun-11-2026-game-boxscore-647616,2026-07-04T15:25:53.665976+00:00,verified
2026-06-11_match-2,2026-06-11,KOR,CZE,2,1,team_a_win,3,https://www.foxsports.com/soccer/fifa-world-cup-men-south-korea-vs-czechia-jun-11-2026-game-boxscore-647617,2026-07-04T15:25:53.665976+00:00,verified
2026-06-12_match-3,2026-06-12,CAN,BIH,1,1,draw,2,https://www.foxsports.com/soccer/fifa-world-cup-men-canada-vs-bosnia-and-herzegovina-jun-12-2026-game-boxscore-647618,2026-07-04T15:25:53.665976+00:00,verified
2026-06-12_match-4,2026-06-12,USA,PAR,4,1,team_a_win,5,https://www.foxsports.com/soccer/fifa-world-cup-men-united-states-vs-paraguay-jun-12-2026-game-boxscore-647619,2026-07-04T15:25:53.665976+00:00,verified
2026-06-13_match-5,2026-06-13,QAT,SUI,1,1,draw,2,https://www.foxsports.com/soccer/fifa-world-cup-men-qatar-vs-switzerland-jun-13-2026-game-boxscore-647621,2026-07-04T15:25:53.665976+00:00,verified
2026-06-13_match-6,2026-06-13,BRA,MAR,1,1,draw,2,https://www.foxsports.com/soccer/fifa-world-cup-men-brazil-vs-morocco-jun-13-2026-game-boxscore-647622,2026-07-04T15:25:53.665976+00:00,verified
2026-06-13_match-7,2026-06-13,HTI,SCO,0,1,team_b_win,1,https://www.foxsports.com/soccer/fifa-world-cup-men-haiti-vs-scotland-jun-13-2026-game-boxscore-647623,2026-07-04T15:25:53.665976+00:00,verified
2026-06-14_match-8,2026-06-14,AUS,TUR,2,0,team_a_win,2,https://www.foxsports.com/soccer/fifa-world-cup-men-australia-vs-turkiye-jun-14-2026-game-boxscore-647620,2026-07-04T15:25:53.665976+00:00,verified
2026-06-14_match-9,2026-06-14,GER,CUW,7,1,team_a_win,8,https://www.foxsports.com/soccer/fifa-world-cup-men-germany-vs-curacao-jun-14-2026-game-boxscore-647624,2026-07-04T15:25:53.665976+00:00,verified
2026-06-14_match-10,2026-06-14,NED,JPN,2,2,draw,4,https://www.foxsports.com/soccer/fifa-world-cup-men-netherlands-vs-japan-jun-14-2026-game-boxscore-647625,2026-07-04T15:25:53.665976+00:00,verified
2026-06-14_match-11,2026-06-14,CIV,ECU,1,0,team_a_win,1,https://www.foxsports.com/soccer/fifa-world-cup-men-ivory-coast-vs-ecuador-jun-14-2026-game-boxscore-647626,2026-07-04T15:25:53.665976+00:00,verified
2026-06-14_match-12,2026-06-14,SWE,TUN,5,1,team_a_win,6,https://www.foxsports.com/soccer/fifa-world-cup-men-sweden-vs-tunisia-jun-14-2026-game-boxscore-647627,2026-07-04T15:25:53.665976+00:00,verified
2026-06-15_match-13,2026-06-15,ESP,CPV,0,0,draw,0,https://www.foxsports.com/soccer/fifa-world-cup-men-spain-vs-cape-verde-jun-15-2026-game-boxscore-647628,2026-07-04T15:25:53.665976+00:00,verified
2026-06-15_match-14,2026-06-15,BEL,EGY,1,1,draw,2,https://www.foxsports.com/soccer/fifa-world-cup-men-belgium-vs-egypt-jun-15-2026-game-boxscore-647629,2026-07-04T15:25:53.665976+00:00,verified
2026-06-15_match-15,2026-06-15,KSA,URU,1,1,draw,2,https://www.foxsports.com/soccer/fifa-world-cup-men-saudi-arabia-vs-uruguay-jun-15-2026-game-boxscore-647630,2026-07-04T15:25:53.665976+00:00,verified
2026-06-15_match-16,2026-06-15,IRI,NZL,2,2,draw,4,https://www.foxsports.com/soccer/fifa-world-cup-men-iran-vs-new-zealand-jun-15-2026-game-boxscore-647631,2026-07-04T15:25:53.665976+00:00,verified
2026-06-16_match-17,2026-06-16,FRA,SEN,3,1,team_a_win,4,https://www.foxsports.com/soccer/fifa-world-cup-men-france-vs-senegal-jun-16-2026-game-boxscore-647633,2026-07-04T15:25:53.665976+00:00,verified
2026-06-16_match-18,2026-06-16,IRQ,NOR,1,4,team_b_win,5,https://www.foxsports.com/soccer/fifa-world-cup-men-iraq-vs-norway-jun-16-2026-game-boxscore-647634,2026-07-04T15:25:53.665976+00:00,verified
2026-06-16_match-19,2026-06-16,ARG,DZA,3,0,team_a_win,3,https://www.foxsports.com/soccer/fifa-world-cup-men-argentina-vs-algeria-jun-16-2026-game-boxscore-647635,2026-07-04T15:25:53.665976+00:00,verified
2026-06-17_match-20,2026-06-17,AUT,JOR,3,1,team_a_win,4,https://www.foxsports.com/soccer/fifa-world-cup-men-austria-vs-jordan-jun-17-2026-game-boxscore-647632,2026-07-04T15:25:53.665976+00:00,verified
2026-06-17_match-21,2026-06-17,POR,COD,1,1,draw,2,https://www.foxsports.com/soccer/fifa-world-cup-men-portugal-vs-dr-congo-jun-17-2026-game-boxscore-647636,2026-07-04T15:25:53.665976+00:00,verified
2026-06-17_match-22,2026-06-17,ENG,CRO,4,2,team_a_win,6,https://www.foxsports.com/soccer/fifa-world-cup-men-england-vs-croatia-jun-17-2026-game-boxscore-647637,2026-07-04T15:25:53.665976+00:00,verified
2026-06-17_match-23,2026-06-17,GHA,PAN,1,0,team_a_win,1,https://www.foxsports.com/soccer/fifa-world-cup-men-ghana-vs-panama-jun-17-2026-game-boxscore-647638,2026-07-04T15:25:53.665976+00:00,verified
2026-06-17_match-24,2026-06-17,UZB,COL,1,3,team_b_win,4,https://www.foxsports.com/soccer/fifa-world-cup-men-uzbekistan-vs-colombia-jun-17-2026-game-boxscore-647639,2026-07-04T15:25:53.665976+00:00,verified
2026-06-18_match-25,2026-06-18,CZE,RSA,1,1,draw,2,https://www.foxsports.com/soccer/fifa-world-cup-men-czechia-vs-south-africa-jun-18-2026-game-boxscore-647640,2026-07-04T15:25:53.665976+00:00,verified
2026-06-18_match-26,2026-06-18,SUI,BIH,4,1,team_a_win,5,https://www.foxsports.com/soccer/fifa-world-cup-men-switzerland-vs-bosnia-and-herzegovina-jun-18-2026-game-boxscore-647641,2026-07-04T15:25:53.665976+00:00,verified
2026-06-18_match-27,2026-06-18,CAN,QAT,6,0,team_a_win,6,https://www.foxsports.com/soccer/fifa-world-cup-men-canada-vs-qatar-jun-18-2026-game-boxscore-647642,2026-07-04T15:25:53.665976+00:00,verified
2026-06-18_match-28,2026-06-18,MEX,KOR,1,0,team_a_win,1,https://www.foxsports.com/soccer/fifa-world-cup-men-mexico-vs-south-korea-jun-18-2026-game-boxscore-647643,2026-07-04T15:25:53.665976+00:00,verified
2026-06-19_match-29,2026-06-19,BRA,HTI,3,0,team_a_win,3,https://www.foxsports.com/soccer/fifa-world-cup-men-brazil-vs-haiti-jun-19-2026-game-boxscore-647647,2026-07-04T15:25:53.665976+00:00,verified
2026-06-19_match-30,2026-06-19,SCO,MAR,0,1,team_b_win,1,https://www.foxsports.com/soccer/fifa-world-cup-men-scotland-vs-morocco-jun-19-2026-game-boxscore-647646,2026-07-04T15:25:53.665976+00:00,verified
2026-06-19_match-31,2026-06-19,TUR,PAR,0,1,team_b_win,1,https://www.foxsports.com/soccer/fifa-world-cup-men-turkiye-vs-paraguay-jun-19-2026-game-boxscore-647644,2026-07-04T15:25:53.665976+00:00,verified
2026-06-19_match-32,2026-06-19,USA,AUS,2,0,team_a_win,2,https://www.foxsports.com/soccer/fifa-world-cup-men-united-states-vs-australia-jun-19-2026-game-boxscore-647645,2026-07-04T15:25:53.665976+00:00,verified
2026-06-20_match-33,2026-06-20,GER,CIV,2,1,team_a_win,3,https://www.foxsports.com/soccer/fifa-world-cup-men-germany-vs-ivory-coast-jun-20-2026-game-boxscore-647649,2026-07-04T15:25:53.665976+00:00,verified
2026-06-20_match-34,2026-06-20,ECU,CUW,0,0,draw,0,https://www.foxsports.com/soccer/fifa-world-cup-men-ecuador-vs-curacao-jun-20-2026-game-boxscore-647650?tab=boxscore,2026-07-04T15:25:53.665976+00:00,verified
2026-06-20_match-35,2026-06-20,NED,SWE,5,1,team_a_win,6,https://www.foxsports.com/soccer/fifa-world-cup-men-netherlands-vs-sweden-jun-20-2026-game-boxscore-647648,2026-07-04T15:25:53.665976+00:00,verified
2026-06-20_match-36,2026-06-20,TUN,JPN,0,4,team_b_win,4,https://www.foxsports.com/soccer/fifa-world-cup-men-tunisia-vs-japan-jun-21-2026-game-boxscore-647651?tab=boxscore,2026-07-04T15:25:53.665976+00:00,verified
2026-06-21_match-37,2026-06-21,URU,CPV,2,2,draw,4,https://www.foxsports.com/soccer/fifa-world-cup-men-uruguay-vs-cape-verde-jun-21-2026-game-boxscore-647654?tab=boxscore,2026-07-04T15:25:53.665976+00:00,verified
2026-06-21_match-38,2026-06-21,ESP,KSA,4,0,team_a_win,4,https://www.foxsports.com/soccer/fifa-world-cup-men-spain-vs-saudi-arabia-jun-21-2026-game-boxscore-647652?tab=boxscore,2026-07-04T15:25:53.665976+00:00,verified
2026-06-21_match-39,2026-06-21,BEL,IRI,0,0,draw,0,https://www.foxsports.com/soccer/fifa-world-cup-men-belgium-vs-iran-jun-21-2026-game-boxscore-647653?tab=boxscore,2026-07-04T15:25:53.665976+00:00,verified
2026-06-21_match-40,2026-06-21,NZL,EGY,1,3,team_b_win,4,https://www.foxsports.com/soccer/fifa-world-cup-men-new-zealand-vs-egypt-jun-21-2026-game-boxscore-647655?tab=boxscore,2026-07-04T15:25:53.666978+00:00,verified
2026-06-22_match-41,2026-06-22,NOR,SEN,3,2,team_a_win,5,https://www.foxsports.com/soccer/fifa-world-cup-men/norway-vs-senegal-jun-22-2026-game-boxscore-647658?tab=boxscore,2026-07-04T15:25:53.666978+00:00,verified
2026-06-22_match-42,2026-06-22,FRA,IRQ,3,0,team_a_win,3,https://www.foxsports.com/soccer/fifa-world-cup-men/france-vs-iraq-jun-22-2026-game-boxscore-647657?tab=boxscore,2026-07-04T15:25:53.666978+00:00,verified
2026-06-22_match-43,2026-06-22,ARG,AUT,2,0,team_a_win,2,https://www.foxsports.com/soccer/fifa-world-cup-men-argentina-vs-austria-jun-22-2026-game-boxscore-647656?tab=boxscore,2026-07-04T15:25:53.666978+00:00,verified
2026-06-22_match-44,2026-06-22,JOR,DZA,1,2,team_b_win,3,https://www.espn.com/soccer/match/_/gameId/760455/algeria-jordan,2026-07-04T15:25:53.666978+00:00,verified
2026-06-23_match-45,2026-06-23,ENG,GHA,0,0,draw,0,https://www.foxsports.com/soccer/fifa-world-cup-men-england-vs-ghana-jun-23-2026-game-boxscore-647661?tab=boxscore,2026-07-04T15:25:53.666978+00:00,verified
2026-06-23_match-46,2026-06-23,PAN,CRO,0,1,team_b_win,1,https://www.foxsports.com/soccer/fifa-world-cup-men-panama-vs-croatia-jun-23-2026-game-boxscore-647662?tab=boxscore,2026-07-04T15:25:53.666978+00:00,verified
