team_id,team_name,group,matches_history,weighted_goals_for_pg,weighted_goals_against_pg,weighted_total_goals_pg,recent_form_points_pg,win_rate,draw_rate,loss_rate,attack_index,defense_index,current_tournament_goals_for_pg,current_tournament_goals_against_pg,current_tournament_xg_for_pg,current_tournament_xg_against_pg,current_tournament_xg_diff_pg,data_quality_score,updated_at
ARG,Argentina,J,20,2.4566,0.3554,2.812,2.35,0.75,0.1,0.15,1.4946,0.2859,2.6667,0.3333,1.5767,0.38,1.1967,1.0,2026-06-30T16:46:46.892701+00:00
AUS,Australia,D,20,1.574,0.7521,2.3261,1.9,0.55,0.25,0.2,0.7081,0.67,0.6667,0.6667,0.6967,0.8567,-0.16,1.0,2026-06-30T16:46:46.894710+00:00
AUT,Austria,J,20,2.4323,0.6689,3.1011,2.15,0.65,0.2,0.15,0.9875,0.7334,2.0,2.0,0.99,1.2367,-0.2467,1.0,2026-06-30T16:46:46.896711+00:00
BEL,Bélgica,G,20,2.6398,0.9859,3.6257,1.65,0.45,0.3,0.25,1.3701,0.5825,2.0,0.6667,1.8,0.78,1.02,1.0,2026-06-30T16:46:46.898710+00:00
BIH,Bosnia y Herzegovina,B,20,1.4279,1.1629,2.5908,1.35,0.3,0.45,0.25,0.6444,1.0981,1.6667,2.0,0.78,1.63,-0.85,1.0,2026-06-30T16:46:46.900709+00:00
BRA,Brasil,C,20,1.9478,1.074,3.0218,1.75,0.5,0.25,0.25,1.2539,0.554,2.25,0.5,1.6775,0.76,0.9175,1.0,2026-06-30T16:46:46.903711+00:00
CAN,Canadá,B,20,1.3869,0.6135,2.0003,1.8,0.45,0.45,0.1,1.1393,0.5239,2.25,0.75,2.0725,0.5125,1.56,1.0,2026-06-30T16:46:46.905711+00:00
CIV,Costa de Marfil,E,20,1.7341,0.5283,2.2623,2.1,0.65,0.15,0.2,0.8597,0.5468,1.3333,0.6667,1.0867,0.5867,0.5,1.0,2026-06-30T16:46:46.907711+00:00
COD,DR Congo,K,20,1.2967,0.6988,1.9955,1.85,0.55,0.2,0.25,0.6862,0.6926,1.3333,1.0,0.9267,0.71,0.2167,1.0,2026-06-30T16:46:46.909711+00:00
COL,Colombia,K,20,2.1414,1.0902,3.2316,1.7,0.5,0.2,0.3,1.1291,0.5207,1.3333,0.3333,1.1933,0.5833,0.61,1.0,2026-06-30T16:46:46.911711+00:00
