team_id,fifa_code,name_es,name_en,slug,group,is_host,confederation
ARG,ARG,Argentina,Argentina,argentina,J,False,
AUS,AUS,Australia,Australia,australia,D,False,
AUT,AUT,Austria,Austria,austria,J,False,
BEL,BEL,Bélgica,Bélgica,belgica,G,False,
BIH,BIH,Bosnia y Herzegovina,Bosnia y Herzegovina,bosnia-y-herzegovina,B,False,
BRA,BRA,Brasil,Brasil,brasil,C,False,
CAN,CAN,Canadá,Canadá,canada,B,False,
CIV,CIV,Costa de Marfil,Costa de Marfil,costa-de-marfil,E,False,
COD,COD,DR Congo,DR Congo,dr-congo,K,False,
COL,COL,Colombia,Colombia,colombia,K,False,
CPV,CPV,Cabo Verde,Cabo Verde,cabo-verde,H,False,
CRO,CRO,Croacia,Croacia,croacia,L,False,
CUW,CUW,Curazao,Curazao,curazao,E,False,
CZE,CZE,República Checa,República Checa,republica-checa,A,False,
DZA,DZA,Argelia,Argelia,argelia,J,False,
ECU,ECU,Ecuador,Ecuador,ecuador,E,False,
EGY,EGY,Egipto,Egipto,egipto,G,False,
ENG,ENG,Inglaterra,Inglaterra,inglaterra,L,False,
ESP,ESP,España,España,espana,H,False,
FRA,FRA,Francia,Francia,francia,I,False,
GER,GER,Alemania,Alemania,alemania,E,False,
GHA,GHA,Ghana,Ghana,ghana,L,False,
HTI,HTI,Haití,Haití,haiti,C,False,
IRI,IRI,Irán,Irán,iran,G,False,
IRQ,IRQ,Irak,Irak,irak,I,False,
JOR,JOR,Jordania,Jordania,jordania,J,False,
JPN,JPN,Japón,Japón,japon,F,False,
KOR,KOR,Corea del Sur,Corea del Sur,corea-del-sur,A,False,
KSA,KSA,Arabia Saudí,Arabia Saudí,arabia-saudi,H,False,
MAR,MAR,Marruecos,Marruecos,marruecos,C,False,
MEX,MEX,México,México,mexico,A,False,
NED,NED,Países Bajos,Países Bajos,paises-bajos,F,False,
NOR,NOR,Noruega,Noruega,noruega,I,False,
NZL,NZL,Nueva Zelanda,Nueva Zelanda,nueva-zelanda,G,False,
PAN,PAN,Panamá,Panamá,panama,L,False,
PAR,PAR,Paraguay,Paraguay,paraguay,D,False,
POR,POR,Portugal,Portugal,portugal,K,False,
QAT,QAT,Catar,Catar,catar,B,False,
RSA,RSA,Sudáfrica,Sudáfrica,sudafrica,A,False,
SCO,SCO,Escocia,Escocia,escocia,C,False,
SEN,SEN,Senegal,Senegal,senegal,I,False,
SUI,SUI,Suiza,Suiza,suiza,B,False,
SWE,SWE,Suecia,Suecia,suecia,F,False,
TUN,TUN,Túnez,Túnez,tunez,F,False,
TUR,TUR,Turquía,Turquía,turquia,D,False,
URU,URU,Uruguay,Uruguay,uruguay,H,False,
USA,USA,Estados Unidos,Estados Unidos,estados-unidos,D,False,
UZB,UZB,Uzbekistán,Uzbekistán,uzbekistan,K,False,
