match_id,date,time_local,group,team_a_id,team_b_id,team_a_name,team_b_name,status,venue,source_url
2026-06-29_BRA_JPN,2026-06-29,TBD,R16,BRA,JPN,Brasil,Japón,scheduled,TBD,manual_calendar_r16_2026
2026-06-29_GER_PAR,2026-06-29,TBD,R16,GER,PAR,Alemania,Paraguay,scheduled,TBD,manual_calendar_r16_2026
2026-06-29_NED_MAR,2026-06-29,TBD,R16,NED,MAR,Países Bajos,Marruecos,scheduled,TBD,manual_calendar_r16_2026
2026-06-30_CIV_NOR,2026-06-30,TBD,R16,CIV,NOR,Costa de Marfil,Noruega,scheduled,TBD,manual_calendar_r16_2026
2026-06-30_FRA_SWE,2026-06-30,TBD,R16,FRA,SWE,Francia,Suecia,scheduled,TBD,manual_calendar_r16_2026
2026-06-30_MEX_ECU,2026-06-30,TBD,R16,MEX,ECU,México,Ecuador,scheduled,TBD,manual_calendar_r16_2026
2026-07-01_ENG_COD,2026-07-01,TBD,R16,ENG,COD,Inglaterra,DR Congo,scheduled,TBD,manual_calendar_r16_2026
2026-07-01_BEL_SEN,2026-07-01,TBD,R16,BEL,SEN,Bélgica,Senegal,scheduled,TBD,manual_calendar_r16_2026
2026-07-01_USA_BIH,2026-07-01,TBD,R16,USA,BIH,Estados Unidos,Bosnia y Herzegovina,scheduled,TBD,manual_calendar_r16_2026
2026-07-02_ESP_AUT,2026-07-02,TBD,R16,ESP,AUT,España,Austria,scheduled,TBD,manual_calendar_r16_2026
2026-07-02_POR_CRO,2026-07-02,TBD,R16,POR,CRO,Portugal,Croacia,scheduled,TBD,manual_calendar_r16_2026
2026-07-02_SUI_DZA,2026-07-02,TBD,R16,SUI,DZA,Suiza,Argelia,scheduled,TBD,manual_calendar_r16_2026
2026-07-03_AUS_EGY,2026-07-03,TBD,R16,AUS,EGY,Australia,Egipto,scheduled,TBD,manual_calendar_r16_2026
2026-07-03_ARG_CPV,2026-07-03,TBD,R16,ARG,CPV,Argentina,Cabo Verde,scheduled,TBD,manual_calendar_r16_2026
2026-07-03_COL_GHA,2026-07-03,TBD,R16,COL,GHA,Colombia,Ghana,scheduled,TBD,manual_calendar_r16_2026
